Input Sizes,Key Comparison,Time Taken(ms)
1000,9049,370
2000,20208,704
3000,31991,1173
4000,44567,1587
5000,58472,1944
6000,70165,2461
7000,82872,2926
8000,97086,3260
9000,112057,3680
10000,127252,4115
20000,273979,8708
30000,419165,13456
40000,588176,17818
50000,728888,23502
60000,898976,27994
70000,1074229,32408
80000,1256219,36940
90000,1444595,41494
100000,1557253,48748
200000,3315659,100454
300000,5259286,147539
400000,7029810,207068
500000,9033525,253986
600000,11112501,303620
700000,13272589,354145
800000,14858808,426995
900000,16942660,474932
1000000,19068510,523967
2000000,40133902,1.08282e+06
3000000,62425499,1.66639e+06
4000000,84270774,2.226e+06
5000000,108173958,2.79586e+06
6000000,130852511,3.40382e+06
7000000,152356475,3.24998e+06
8000000,176527409,3.69629e+06
9000000,201192880,5.10082e+06
10000000,226352379,5.67984e+06
