Threshold Value,Key Comparison,Time Taken(ms)
1,18670271,698086
2,18670190,672067
3,18723882,578019
4,18723882,576167
5,18723882,577129
6,18817163,558971
7,19068510,522692
8,19068510,523575
9,19068510,523345
10,19068510,527009
11,19068510,524535
12,19068510,524466
13,19068510,522839
14,19880577,515505
15,20215712,513199
16,20215712,512892
17,20215712,512542
18,20215712,512362
19,20215712,514764
20,20215712,513656
21,20215712,513442
22,20215712,512627
23,20215712,513182
24,20215712,512657
25,20215712,512911
26,20215712,513553
27,20215712,512752
28,20215712,513484
29,21586386,533721
30,23171597,557892
31,23171597,559871
32,23171597,557681
33,23171597,557330
34,23171597,559055
35,23171597,557309
36,23171597,556873
37,23171597,557676
38,23171597,557158
39,23171597,556557
40,23171597,557477
41,23171597,556196
42,23171597,557630
43,23171597,557774
44,23171597,557284
45,23171597,557550
46,23171597,556997
47,23171597,557888
48,23171597,556869
49,23171597,556987
50,23171597,556834
51,23171597,557007
52,23171597,559328
53,23171597,558369
54,23171597,557075
55,23171597,556953
56,23171597,557066
57,23171597,557094
58,23171597,556655
59,23171597,557812
60,29640048,696322
61,29881085,702591
62,29881085,703443
63,29881085,705416
64,29881085,700405
65,29881085,700307
66,29881085,703803
67,29881085,701268
68,29881085,700906
69,29881085,700657
70,29881085,704540
71,29881085,694050
72,29881085,704330
73,29881085,705379
74,29881085,699760
75,29881085,704202
76,29881085,703948
77,29881085,702440
78,29881085,706233
79,29881085,706588
80,29881085,701975
81,29881085,701084
82,29881085,702709
83,29881085,702706
84,29881085,700850
85,29881085,699046
86,29881085,702261
87,29881085,703936
88,29881085,703859
89,29881085,700857
90,29881085,702693
91,29881085,700347
92,29881085,699023
93,29881085,702320
94,29881085,701208
95,29881085,689634
96,29881085,704179
97,29881085,697752
98,29881085,702588
99,29881085,701655
100,29881085,699675
101,29881085,700521
102,29881085,702655
103,29881085,703464
104,29881085,703519
105,29881085,700172
106,29881085,699530
107,29881085,700697
108,29881085,702088
109,29881085,700954
110,29881085,702419
111,29881085,702836
112,29881085,702911
113,29881085,702390
114,29881085,702951
115,29881085,704137
116,29881085,705363
117,29881085,701589
118,29881085,702057
119,29881085,687338
120,29881085,688555
121,43132664,1.00893e+06
122,44155350,1.02591e+06
123,44155350,1.02658e+06
124,44155350,1.02532e+06
125,44155350,1.02281e+06
