Input Sizes,Key Comparison,Time Taken(ms)
1000,8519,364
2000,18998,673
3000,29985,1050
4000,41781,1378
5000,54829,1751
6000,66126,2218
7000,78272,2579
8000,91481,2936
9000,105205,3302
10000,119470,3661
20000,258882,7558
30000,398957,11857
40000,558021,15545
50000,696796,20955
60000,856972,24726
70000,1023021,28474
80000,1196762,32444
90000,1372918,36420
100000,1493263,43128
200000,3186006,89292
300000,5032696,130489
400000,6768427,184909
500000,8677441,226784
600000,10660519,269201
700000,12722165,313967
800000,14333638,381097
900000,16319577,423711
1000000,18353090,467786
2000000,38690398,966357
3000000,60204403,1.49666e+06
4000000,81366479,1.99968e+06
5000000,104277637,2.4823e+06
6000000,126378213,3.0836e+06
7000000,147494071,3.63956e+06
8000000,170684915,4.2453e+06
9000000,194359612,4.35222e+06
10000000,218504828,3.77171e+06
