Threshold Value,Key Comparison,Time Taken(ms)
1,18377516,648220
2,18345255,614468
3,18199237,540622
4,18199237,521730
5,18199237,568396
6,18226348,506257
7,18353090,475964
8,18353090,469705
9,18353090,358370
10,18353090,340142
11,18353090,340243
12,18353090,345635
13,18353090,339343
14,19058199,331370
15,19354927,330019
16,19354927,343140
17,19354927,338495
18,19354927,332471
19,19354927,329999
20,19354927,330414
21,19354927,330520
22,19354927,430765
23,19354927,453880
24,19354927,454078
25,19354927,453897
26,19354927,453662
27,19354927,454608
28,19354927,454292
29,20671074,472217
30,22191125,492610
31,22191125,492084
32,22191125,492803
33,22191125,492640
34,22191125,509773
35,22191125,507214
36,22191125,496290
37,22191125,493650
38,22191125,493957
39,22191125,498082
40,22191125,494325
41,22191125,493421
42,22191125,515234
43,22191125,541603
44,22191125,496092
45,22191125,500282
46,22191125,505211
47,22191125,494243
48,22191125,494262
49,22191125,495170
50,22191125,494444
51,22191125,495052
52,22191125,494305
53,22191125,496169
54,22191125,494084
55,22191125,493187
56,22191125,493613
57,22191125,493735
58,22191125,493306
59,22191125,493310
60,28545974,616936
61,28783600,620432
62,28783600,620144
63,28783600,621206
64,28783600,622500
65,28783600,620877
66,28783600,620563
67,28783600,621914
68,28783600,620434
69,28783600,621719
70,28783600,620957
71,28783600,621842
72,28783600,622188
73,28783600,620047
74,28783600,620966
75,28783600,620183
76,28783600,620957
77,28783600,620281
78,28783600,620601
79,28783600,621280
80,28783600,621110
81,28783600,625225
82,28783600,622849
83,28783600,620141
84,28783600,620547
85,28783600,631270
86,28783600,625423
87,28783600,628147
88,28783600,622760
89,28783600,624380
90,28783600,622013
91,28783600,621465
92,28783600,631682
93,28783600,622858
94,28783600,620957
95,28783600,626204
96,28783600,621231
97,28783600,621345
98,28783600,621178
99,28783600,625021
100,28783600,624960
101,28783600,624068
102,28783600,625303
103,28783600,632387
104,28783600,618990
105,28783600,619141
106,28783600,618954
107,28783600,620294
108,28783600,621774
109,28783600,619535
110,28783600,618701
111,28783600,619126
112,28783600,618854
113,28783600,619537
114,28783600,619003
115,28783600,618972
116,28783600,619242
117,28783600,618717
118,28783600,619226
119,28783600,619930
120,28783600,618701
121,41920320,891863
122,42925897,913000
123,42925897,913731
124,42925897,912181
125,42925897,914198
