Input Sizes,Key Comparison,Time Taken(ms)
1000,9139,430
2000,20255,836
3000,33704,1252
4000,44430,1747
5000,58629,2222
6000,73611,2736
7000,89834,3197
8000,96952,3747
9000,111910,4150
10000,127144,4649
20000,274111,9800
30000,429304,15254
40000,587962,20228
50000,769114,25805
60000,919376,31460
70000,1074240,36765
80000,1256230,41740
90000,1444763,47734
100000,1639237,52589
200000,3477127,108572
300000,5257433,167117
400000,7356089,224360
500000,9034978,285122
600000,11114124,339981
700000,13272767,398595
800000,15507557,458259
900000,17825475,532196
1000000,19066898,588872
