Input Sizes,Key Comparison,Time Taken(ms)
1000,8715,716
2000,19442,1470
3000,30908,2273
4000,42822,3094
5000,55287,3903
6000,67816,4739
7000,80640,5614
8000,93687,6314
9000,107022,7299
10000,120526,8036
20000,260971,16517
30000,408470,26591
40000,561634,36903
50000,718188,43676
60000,876911,51685
70000,1038640,60584
80000,1203640,68631
90000,1369249,77700
100000,1536102,86698
200000,3272062,175878
300000,5084268,269104
400000,6943915,358086
500000,8835476,452651
600000,10767349,549700
700000,12720214,638242
800000,14687121,728934
900000,16674613,829509
1000000,18669992,920540
